Year,GDP,GDP_per_capita,Output_gap,Total_investments,National_savings,Inflation,Unemployment_rate,Population,Origin
2000,744.63,24296.72,2.3,20.614,23.161,95.375,6.833,30.647,Canada
2001,738.97,23859.71,0.657,19.671,21.885,97.783,7.225,30.971,Canada
2002,760.15,24279.19,0.489,19.739,21.471,99.992,7.667,31.309,Canada
2003,895.60,28338.75,-0.566,20.467,21.699,102.75,7.583,31.603,Canada
2004,1026.47,32176.59,-0.058,21.383,23.729,104.658,7.15,31.901,Canada
2005,1173.51,36439.62,0.863,22.632,24.561,106.975,6.767,32.204,Canada
2006,1319.36,40558.90,1.514,23.595,25.038,109.117,6.325,32.529,Canada
2007,1468.90,44716.99,1.852,23.908,24.732,111.45,6.075,32.849,Canada
2008,1552.86,46773.84,1.285,24.072,24.221,114.092,6.2,33.199,Canada
2009,1376.51,40990.63,-3.211,21.959,19.05,114.433,8.375,33.581,Canada
2010,1617.35,47627.35,-1.754,23.482,19.918,116.467,8.075,33.958,Canada
2011,1793.33,52285.94,-0.354,24.151,21.438,119.858,7.55,34.298,Canada
2012,1828.36,52744.00,-0.407,24.868,21.337,121.675,7.375,34.665,Canada
2013,1846.60,52708.61,0.041,24.908,21.766,122.817,7.133,35.034,Canada
2014,1805.75,51020.84,1.018,24.871,22.551,125.158,6.967,35.392,Canada
2015,1556.51,43626.47,-0.147,23.822,20.326,126.567,6.942,35.678,Canada
2016,1528.00,42382.64,-0.949,22.761,19.673,128.375,7.05,36.052,Canada
2017,1649.27,45191.99,0.374,23.55,20.748,130.425,6.383,36.495,Canada
2018,1725.30,46625.86,0.553,23.377,21,133.383,5.908,37.003,Canada
2019,1742.02,46403.99,0.358,23.069,21.034,135.983,5.75,37.54,Canada
2020,1645.42,43306.64,-3.356,22.257,20.471,136.958,9.583,37.995,Canada
2000,1366.24,23212.45,1.492,22.488,23.588,78.226,9.175,58.858,France
2001,1377.67,23245.26,1.263,22.165,23.74,79.621,8.458,59.267,France
2002,1500.35,25137.40,0.448,21.316,22.464,81.165,8.275,59.686,France
2003,1844.08,30682.64,-0.58,21.186,22.022,82.926,8.517,60.102,France
2004,2118.67,35016.22,0.043,21.89,22.422,84.863,8.875,60.505,France
2005,2198.16,36057.12,0.03,22.453,22.556,86.465,8.875,60.963,France
2006,2320.66,37795.92,1.028,23.238,23.491,88.102,8.85,61.4,France
2007,2660.91,43060.03,2.021,24.165,24.063,89.518,8.025,61.795,France
2008,2929.98,47155.21,1.134,24.13,23.433,92.347,7.442,62.135,France
2009,2697.96,43190.97,-2.481,21.333,20.783,92.44,9.117,62.466,France
2010,2647.35,42178.58,-1.745,21.946,21.318,94.048,9.267,62.765,France
2011,2864.65,45419.97,-0.747,23.221,22.361,96.198,9.208,63.07,France
2012,2685.37,42372.07,-1.503,22.627,21.662,98.328,9.775,63.376,France
2013,2811.92,44144.62,-1.986,22.287,21.777,99.302,10.3,63.698,France
2014,2856.70,44616.46,-2.227,22.71,21.754,99.91,10.275,64.028,France
2015,2439.44,37937.86,-2.409,22.712,22.344,99.999,10.35,64.301,France
2016,2472.28,38348.51,-2.663,22.609,22.123,100.305,10.067,64.469,France
2017,2594.24,40134.13,-1.547,23.436,22.67,101.473,9.417,64.639,France
2018,2792.22,43060.59,-0.824,23.857,23.026,103.603,9.025,64.844,France
2019,2729.17,41924.84,0,24.365,24.877,104.947,8.408,65.097,France
2020,2636.02,40377.53,-4.727,23.594,21.797,105.498,8.025,65.284,France
2000,1948.84,23924.88,1.288,24.487,22.726,78.933,7.95,81.457,Germany
2001,1945.80,23869.77,1.555,22.96,22.592,80.433,7.8,81.518,Germany
2002,2077.02,25460.33,0.338,20.776,22.667,81.5,8.6,81.579,Germany
2003,2501.01,30668.85,-1.405,20.437,21.851,82.375,9.708,81.549,Germany
2004,2813.08,34534.81,-1.328,19.839,24.359,83.842,10.333,81.456,Germany
2005,2848.44,35020.20,-1.828,19.485,24.159,85.458,11.008,81.337,Germany
2006,2994.86,36894.47,0.403,20.571,26.343,86.975,10.042,81.174,Germany
2007,3425.98,42299.86,2.338,21.38,28.241,88.95,8.542,80.993,Germany
2008,3744.85,46367.86,2.455,21.446,27.138,91.4,7.425,80.764,Germany
2009,3407.56,42338.71,-3.866,18.556,24.393,91.625,7.225,80.483,Germany
2010,3402.44,42379.71,-0.997,20.066,25.81,92.65,6.575,80.285,Germany
2011,3748.66,46697.38,1.336,21.635,27.848,94.95,5.517,80.276,Germany
2012,3529.38,43883.39,0.246,19.716,26.845,97,5.083,80.426,Germany
2013,3733.86,46299.37,-0.831,20.054,26.611,98.558,4.95,80.646,Germany
2014,3890.10,48035.80,-0.365,20.37,27.575,99.317,4.708,80.983,Germany
2015,3357.93,41107.22,-0.363,19.743,28.344,99.992,4.367,81.687,Germany
2016,3468.90,42124.20,0.128,19.967,28.475,100.358,3.908,82.349,Germany
2017,3689.55,44636.83,0.982,20.962,28.792,102.067,3.567,82.657,Germany
2018,3976.25,47961.04,0.8,21.92,29.875,104.042,3.208,82.906,Germany
2019,3888.66,46798.83,0.369,22.121,29.69,105.45,2.975,83.093,Germany
2020,3886.56,46735.31,-3.03,22.09,29.101,105.842,3.625,83.161,Germany
2000,1147.18,20153.07,-0.108,20.865,20.851,74.217,10.1,56.924,Italy
2001,1168.03,20505.94,0.358,20.843,21.077,75.942,9.1,56.961,Italy
2002,1275.87,22386.28,-0.4,21.571,21.07,77.925,8.608,56.993,Italy
2003,1577.23,27580.46,-1.08,21.179,20.56,80.117,8.45,57.186,Italy
2004,1805.72,31342.83,-0.319,21.262,20.902,81.925,8.025,57.612,Italy
2005,1859.25,32031.45,0.003,21.169,20.352,83.733,7.75,58.044,Italy
2006,1949.66,33448.09,1.48,21.958,20.576,85.6,6.867,58.289,Italy
2007,2213.36,37828.34,2.69,22.246,20.996,87.333,6.208,58.511,Italy
2008,2408.39,40818.96,1.8,21.779,18.971,90.383,6.8,59.002,Italy
2009,2197.54,36982.81,-3.17,19.509,17.67,91.075,7.867,59.421,Italy
2010,2137.84,35815.59,-1.31,20.58,17.291,92.55,8.483,59.69,Italy
2011,2294.59,38276.03,-0.458,20.468,17.697,95.267,8.6,59.948,Italy
2012,2088.28,34743.75,-2.8,17.789,17.73,98.425,10.9,60.105,Italy
2013,2141.95,35534.99,-4.1,16.892,17.965,99.65,12.358,60.277,Italy
2014,2162.57,35836.16,-4.1,16.959,19.029,99.883,12.775,60.346,Italy
2015,1836.82,30463.70,-3.5,17.107,18.912,99.992,12.025,60.295,Italy
2016,1876.55,31190.78,-2.69,17.561,20.01,99.942,11.708,60.164,Italy
2017,1961.10,32648.76,-1.696,18.054,20.713,101.267,11.308,60.067,Italy
2018,2092.88,34917.56,-1.23,18.527,21.036,102.525,10.625,59.938,Italy
2019,2011.51,33627.86,-1.161,18.24,21.362,103.175,9.892,59.817,Italy
2020,1891.06,31707.10,-6.189,17.704,21.41,103.025,9.342,59.641,Italy
2000,1665.28,28279.66,0.858,18.127,15.94,72.685,5.45,58.886,United Kingdom
2001,1644.33,27816.75,0.16,17.856,15.886,73.582,5.1,59.113,United Kingdom
2002,1786.89,30099.60,-0.326,17.878,15.772,74.508,5.2,59.366,United Kingdom
2003,2058.97,34525.00,0.2,17.519,15.725,75.523,5,59.637,United Kingdom
2004,2422.91,40415.48,0.216,17.436,15.114,76.538,4.75,59.95,United Kingdom
2005,2547.69,42171.20,0.692,17.608,15.694,78.112,4.825,60.413,United Kingdom
2006,2720.89,44731.56,1.477,17.865,15.055,79.931,5.425,60.827,United Kingdom
2007,3107.37,50675.53,2.299,18.336,14.944,81.788,5.35,61.319,United Kingdom
2008,2969.96,48038.97,0.91,17.449,13.581,84.733,5.725,61.824,United Kingdom
2009,2434.48,39101.21,-4.321,14.774,11.547,86.568,7.625,62.261,United Kingdom
2010,2493.56,39731.62,-3.316,16.043,12.973,89.423,7.9,62.76,United Kingdom
2011,2675.81,42281.87,-3.131,15.793,13.888,93.415,8.1,63.285,United Kingdom
2012,2719.64,42691.19,-3.148,15.901,12.424,96.057,7.975,63.705,United Kingdom
2013,2805.12,43757.45,-2.931,16.046,11.276,98.521,7.575,64.106,United Kingdom
2014,3088.77,47816.05,-1.765,17.238,12.127,99.96,6.2,64.597,United Kingdom
2015,2957.23,45418.94,-0.961,17.646,12.481,100,5.375,65.11,United Kingdom
2016,2732.96,41630.46,-0.452,17.736,12.41,100.66,4.875,65.648,United Kingdom
2017,2701.27,40903.52,0.112,18.189,14.558,103.361,4.425,66.04,United Kingdom
2018,2904.51,43718.97,0.334,17.867,13.99,105.922,4.075,66.436,United Kingdom
2019,2880.36,43121.06,0.64,18.007,15.34,107.819,3.825,66.797,United Kingdom
2020,2758.87,41127.44,-3.505,16.693,14.192,108.736,4.55,67.081,United Kingdom
2000,10250.95,36312.78,2.058,23.678,20.726,172.192,3.967,282.296,United States
2001,10581.93,37101.45,-0.538,22.177,19.553,177.042,4.742,285.216,United States
2002,10929.10,37945.76,-2.115,21.723,18.263,179.867,5.783,288.019,United States
2003,11456.45,39405.35,-2.383,21.746,17.314,184,5.992,290.733,United States
2004,12217.18,41641.62,-1.468,22.652,17.626,188.908,5.542,293.389,United States
2005,13039.20,44034.26,-0.716,23.376,18.018,195.267,5.083,296.115,United States
2006,13815.60,46216.85,-0.414,23.538,19.086,201.558,4.608,298.93,United States
2007,14474.25,47943.35,-0.696,22.557,17.302,207.344,4.617,301.903,United States
2008,14769.85,48470.55,-2.734,21.037,14.936,215.254,5.8,304.718,United States
2009,14478.05,47102.43,-7.236,17.769,13.727,214.565,9.283,307.374,United States
2010,15048.98,48586.29,-6.514,18.672,15.201,218.076,9.608,309.737,United States
2011,15599.73,50008.11,-6.575,19.034,16.162,224.923,8.933,311.944,United States
2012,16253.95,51736.74,-5.699,19.951,18.505,229.586,8.075,314.167,United States
2013,16843.23,53245.52,-5.052,20.343,18.934,232.952,7.358,316.331,United States
2014,17550.68,55083.51,-3.971,20.778,20.1,236.715,6.158,318.619,United States
2015,18206.03,56729.68,-2.544,21.201,20.156,237.002,5.275,320.926,United States
2016,18695.10,57839.99,-2.15,20.567,18.907,240.005,4.875,323.221,United States
2017,19479.63,59885.71,-1.317,20.79,19.486,245.121,4.358,325.28,United States
2018,20527.15,62769.66,0.009,21.145,19.611,251.099,3.892,327.023,United States
2019,21372.60,65051.88,0.655,21.365,19.446,255.647,3.675,328.547,United States
2020,20893.75,63078.47,-3.163,21.152,19.158,258.838,8.092,331.234,United States
2000,4968.36,39172.96,-0.201,28.417,31.046,97.293,4.733,126.831,Japan
2001,4374.71,34410.68,-0.816,27.755,29.725,96.618,5.042,127.132,Japan
2002,4182.85,32832.30,-1.718,25.899,28.508,95.751,5.358,127.4,Japan
2003,4519.56,35410.22,-1.338,25.661,28.746,95.499,5.242,127.634,Japan
2004,4893.14,38307.10,-0.441,25.638,29.359,95.489,4.733,127.734,Japan
2005,4831.47,37819.10,-0.151,26.052,29.573,95.214,4.425,127.752,Japan
2006,4601.66,36021.90,0.022,26.078,29.869,95.458,4.117,127.746,Japan
2007,4579.75,35847.23,0.501,25.769,30.402,95.502,3.833,127.757,Japan
2008,5106.68,39992.06,-1.391,25.87,28.661,96.823,3.983,127.692,Japan
2009,5289.49,41469.77,-7.04,22.603,25.348,95.534,5.075,127.551,Japan
2010,5759.07,45135.80,-3.38,22.59,26.429,94.825,5.058,127.594,Japan
2011,6233.15,48760.91,-3.955,23.541,25.624,94.562,4.583,127.831,Japan
2012,6272.36,49175.05,-3.047,24.005,24.956,94.516,4.325,127.552,Japan
2013,5212.33,40934.76,-1.632,24.418,25.299,94.829,4.008,127.333,Japan
2014,4897.00,38522.77,-1.921,25.036,25.787,97.445,3.583,127.12,Japan
2015,4444.93,35005.66,-1.505,25.165,28.235,98.223,3.375,126.978,Japan
2016,5003.68,39411.42,-1.755,24.836,28.788,98.102,3.108,126.96,Japan
2017,4930.84,38903.30,-0.306,25.215,29.343,98.579,2.825,126.746,Japan
2018,5040.89,39850.37,-0.707,25.642,29.169,99.555,2.442,126.495,Japan
2019,5120.31,40566.31,-1.242,25.773,29.217,100.021,2.358,126.221,Japan
2020,5031.62,39981.48,-2.613,25.318,28.239,99.994,2.783,125.849,Japan